                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.86318,                 1.0136,                 1.0526,                0.43262,                 0.2896,                 0.2856,                0.20841,                 1.4925,                 2.2621,                 1.5932,             0.00018051,             0.00018051,             0.00018051
                    124,                0.82292,                 1.0015,                 1.0355,                 0.4232,                0.33497,                0.31342,                 0.2107,                 1.5587,                 2.2848,                 1.6461,             0.00018004,             0.00018004,             0.00018004
                    125,                0.82737,                0.97121,                 1.0458,                0.41365,                 0.3541,                0.31675,                0.21194,                 1.5784,                 2.2937,                 1.6526,             0.00017957,             0.00017957,             0.00017957
                    126,                0.84554,                 1.0286,                 1.0708,                0.41446,                0.32452,                0.30723,                0.21601,                  1.497,                 2.2929,                 1.6121,             0.00017909,             0.00017909,             0.00017909
                    127,                0.80653,                0.99174,                 1.0506,                0.42164,                0.34512,                0.30944,                 0.2122,                 1.4582,                 2.3125,                  1.587,             0.00017862,             0.00017862,             0.00017862
                    128,                0.81697,                0.99413,                 1.0578,                0.57891,                0.28324,                0.30928,                0.21477,                 1.4799,                  2.301,                 1.6126,             0.00017815,             0.00017815,             0.00017815
                    129,                0.81668,                0.97126,                 1.0368,                0.50843,                0.29652,                0.30887,                0.21006,                 1.4889,                 2.2894,                 1.5867,             0.00017768,             0.00017768,             0.00017768
                    130,                0.78481,                0.94107,                 1.0465,                0.54057,                 0.2936,                0.31086,                0.21579,                 1.4521,                 2.2381,                 1.5763,             0.00017721,             0.00017721,             0.00017721
                    131,                0.83269,                0.99948,                 1.0554,                0.51377,                0.30122,                0.30607,                0.21016,                 1.4704,                  2.234,                 1.5929,             0.00017674,             0.00017674,             0.00017674
                    132,                0.80082,                0.96023,                 1.0363,                0.46975,                0.32153,                0.30464,                0.20876,                 1.4759,                 2.2672,                 1.5788,             0.00017627,             0.00017627,             0.00017627
                    133,                0.80489,                0.97705,                 1.0395,                0.42642,                0.31791,                0.30277,                0.20411,                  1.515,                 2.2719,                 1.6175,              0.0001758,              0.0001758,              0.0001758
                    134,                0.80422,                 0.9602,                 1.0435,                 0.5619,                0.26918,                0.29555,                0.19617,                  1.513,                 2.2292,                 1.6157,             0.00017533,             0.00017533,             0.00017533
                    135,                 0.8335,                  1.012,                 1.0536,                0.55615,                0.28495,                 0.3048,                0.20838,                 1.4835,                 2.2373,                  1.595,             0.00017485,             0.00017485,             0.00017485
                    136,                 0.8173,                0.93853,                  1.041,                0.49617,                0.32322,                0.31064,                0.21077,                 1.4374,                 2.2578,                 1.5519,             0.00017438,             0.00017438,             0.00017438
                    137,                0.80631,                0.96258,                 1.0599,                0.50602,                0.32557,                 0.3169,                0.21236,                 1.4905,                 2.2454,                 1.6188,             0.00017391,             0.00017391,             0.00017391
                    138,                0.83928,                0.96727,                 1.0567,                 0.5079,                0.30872,                0.31195,                0.20206,                  1.543,                 2.2694,                 1.6676,             0.00017344,             0.00017344,             0.00017344
                    139,                0.79246,                0.90722,                  1.026,                0.51945,                 0.3026,                0.30154,                0.20125,                 1.4862,                  2.301,                 1.6016,             0.00017297,             0.00017297,             0.00017297
                    140,                0.81186,                0.95005,                  1.058,                0.52628,                0.29071,                0.28464,                0.19629,                 1.4696,                 2.2887,                 1.5683,              0.0001725,              0.0001725,              0.0001725
                    141,                0.80703,                0.92939,                 1.0516,                0.49954,                0.32397,                0.31135,                0.20051,                  1.551,                 2.2742,                 1.6316,             0.00017203,             0.00017203,             0.00017203
                    142,                0.82407,                0.92165,                 1.0354,                0.46039,                0.33434,                0.30888,                0.20231,                  1.557,                 2.2898,                 1.6312,             0.00017156,             0.00017156,             0.00017156
                    143,                0.82691,                0.98748,                 1.0591,                0.40493,                0.32694,                0.30919,                0.21277,                 1.4941,                 2.3146,                 1.5775,             0.00017108,             0.00017108,             0.00017108
                    144,                0.79387,                0.92374,                 1.0313,                0.42875,                0.31691,                0.31413,                 0.2097,                 1.5386,                 2.2786,                 1.6359,             0.00017061,             0.00017061,             0.00017061
                    145,                0.77591,                0.89346,                 1.0082,                0.55084,                0.30193,                0.31536,                0.21301,                 1.5376,                 2.2779,                 1.6349,             0.00017014,             0.00017014,             0.00017014
                    146,                0.77784,                0.92257,                 1.0217,                0.59396,                0.28831,                0.31261,                0.21332,                 1.5142,                 2.2639,                 1.6185,             0.00016967,             0.00016967,             0.00016967
                    147,                0.77838,                0.90947,                 1.0054,                0.57318,                0.30194,                0.30854,                0.21237,                 1.4952,                 2.2946,                 1.6173,              0.0001692,              0.0001692,              0.0001692
                    148,                0.79191,                0.91474,                 1.0197,                0.62627,                0.29111,                0.29874,                0.20186,                 1.5164,                 2.3653,                  1.641,             0.00016873,             0.00016873,             0.00016873
                    149,                0.78322,                0.88805,                 1.0175,                  0.654,                0.28305,                0.30967,                0.20847,                 1.5099,                  2.319,                 1.6282,             0.00016826,             0.00016826,             0.00016826
